random seed = 1234
reference_energy=-2.903724377034114 hartree
stage=2 learning_rate=1e-06 epoch=1700 rel_error=1.965076975327e-04 best_rel_error=1.97e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=1800 rel_error=1.953948275675e-04 best_rel_error=1.95e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=1900 rel_error=1.942696721823e-04 best_rel_error=1.94e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=2000 rel_error=1.931339356169e-04 best_rel_error=1.93e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=2100 rel_error=1.919868844648e-04 best_rel_error=1.92e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=2200 rel_error=1.908282691297e-04 best_rel_error=1.91e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=2300 rel_error=1.896583586433e-04 best_rel_error=1.90e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=2400 rel_error=1.884782654040e-04 best_rel_error=1.88e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=2500 rel_error=1.872884234959e-04 best_rel_error=1.87e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=2600 rel_error=1.860890054775e-04 best_rel_error=1.86e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=2700 rel_error=1.848811880304e-04 best_rel_error=1.85e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=2800 rel_error=1.836635475599e-04 best_rel_error=1.84e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=2900 rel_error=1.824371700895e-04 best_rel_error=1.82e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=3000 rel_error=1.812024350545e-04 best_rel_error=1.81e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=3100 rel_error=1.799595894375e-04 best_rel_error=1.80e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=3200 rel_error=1.787081686293e-04 best_rel_error=1.79e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=3300 rel_error=1.774486054702e-04 best_rel_error=1.77e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=3400 rel_error=1.761825037659e-04 best_rel_error=1.76e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=3500 rel_error=1.749080744332e-04 best_rel_error=1.75e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=3600 rel_error=1.736263340009e-04 best_rel_error=1.74e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=3700 rel_error=1.723384873998e-04 best_rel_error=1.72e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=3800 rel_error=1.710436764314e-04 best_rel_error=1.71e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=3900 rel_error=1.697412002874e-04 best_rel_error=1.70e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=4000 rel_error=1.684344843079e-04 best_rel_error=1.68e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=4100 rel_error=1.671219171004e-04 best_rel_error=1.67e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=4200 rel_error=1.658024155967e-04 best_rel_error=1.66e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=4300 rel_error=1.644775872634e-04 best_rel_error=1.64e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=4400 rel_error=1.631490523613e-04 best_rel_error=1.63e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=4500 rel_error=1.618143629284e-04 best_rel_error=1.62e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=4600 rel_error=1.604747308827e-04 best_rel_error=1.60e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=4700 rel_error=1.591323398564e-04 best_rel_error=1.59e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=4800 rel_error=1.577847878216e-04 best_rel_error=1.58e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=4900 rel_error=1.564323945329e-04 best_rel_error=1.56e-04 num_params=34260
