random seed = 1234
reference_energy=-7.478060326 hartree
stage=1 learning_rate=1e-02 epoch=14300 rel_error=1.817953497115e-03 best_rel_error=1.71e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=14400 rel_error=1.855045742583e-03 best_rel_error=1.70e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=14500 rel_error=1.767350020223e-03 best_rel_error=1.70e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=14600 rel_error=1.748823884935e-03 best_rel_error=1.69e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=14700 rel_error=1.690790603855e-03 best_rel_error=1.69e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=14800 rel_error=1.828477986679e-03 best_rel_error=1.68e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=14900 rel_error=1.743173681687e-03 best_rel_error=1.66e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=15000 rel_error=1.866315465216e-03 best_rel_error=1.66e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=15100 rel_error=1.736271389096e-03 best_rel_error=1.66e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=15200 rel_error=1.795363481239e-03 best_rel_error=1.65e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=15300 rel_error=1.838643776969e-03 best_rel_error=1.63e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=15400 rel_error=1.768126973051e-03 best_rel_error=1.63e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=15500 rel_error=1.794469679931e-03 best_rel_error=1.63e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=15600 rel_error=1.746070085197e-03 best_rel_error=1.62e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=15700 rel_error=1.601320929784e-03 best_rel_error=1.60e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=15800 rel_error=1.619206100015e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=15900 rel_error=1.669687310715e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=16000 rel_error=1.634076959733e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=16100 rel_error=1.662349246116e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=16300 rel_error=5.042059015422e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=16400 rel_error=4.582318070499e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=16500 rel_error=3.575474096341e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=16600 rel_error=3.717788493657e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=16700 rel_error=3.635613699281e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=16800 rel_error=3.261087069121e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=16900 rel_error=3.199412516345e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=17000 rel_error=3.129008695985e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=17100 rel_error=3.150661341430e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=17200 rel_error=3.388214481875e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=17300 rel_error=3.065027044338e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=17400 rel_error=3.056163778943e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=17500 rel_error=3.128242197793e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=17600 rel_error=2.220087670366e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=17700 rel_error=2.274205939094e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=17800 rel_error=2.223362638158e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=17900 rel_error=2.133290531470e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=18000 rel_error=2.047856316653e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=18100 rel_error=1.984272694495e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=18200 rel_error=1.998405923162e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=18300 rel_error=2.070356114023e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=18400 rel_error=1.974853551561e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=18500 rel_error=1.952711444002e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=18600 rel_error=1.900966279394e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=18700 rel_error=1.996098677654e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=18800 rel_error=1.886084527803e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=18900 rel_error=2.035943197376e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=19000 rel_error=2.000523153710e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=19100 rel_error=1.971598251992e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=19200 rel_error=1.917913197540e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=19300 rel_error=2.045787407736e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=19400 rel_error=1.929649171395e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=19500 rel_error=1.972549368180e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=19600 rel_error=1.892567258444e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=19700 rel_error=1.938117301901e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=19800 rel_error=1.912109634981e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=19900 rel_error=1.847227241405e-03 best_rel_error=1.59e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=20000 rel_error=1.934610289480e-03 best_rel_error=1.59e-03 num_params=51390
