macro,energy_hartree,relative_error,dE,grad_orb,grad_ci,ddm,max_rot,jk_this_macro,micro_this_macro,total_jk,total_micro,macro_step_wall_s,cumulative_macro_wall_s,cumulative_casscf_wall_s,cumulative_peak_rss_mb
9,-2.9034732915198123,8.647016097263604e-05,-1.8935502970052198e-05,1.756468787269395e-05,0.0015653176054625107,9.518309773153598e-07,0.3062372708970275,6,1,145,28,550.8411031169817,13444.822976763011,13619.63702147198,30195.546875
9,-2.9034732915198123,8.647016097263604e-05,-1.8935502970052198e-05,1.756468787269395e-05,0.0017938891232756472,2.8560447079463297e-06,0.3062372708970275,11,2,145,28,380.052589747007,13824.875566510018,13999.689611218986,30195.546875
9,-2.9034732915198123,8.647016097263604e-05,-1.8935502970052198e-05,1.756468787269395e-05,0.0018819002413154647,5.898308026580929e-06,0.3062372708970275,16,3,145,28,383.0824479809962,14207.958014491014,14382.772059199982,30195.546875
9,-2.903493707834226,7.943908234299222e-05,-2.0416314413740366e-05,1.756468787269395e-05,0.0018819002413154647,4.790123862981096e-05,0.30597269927901627,21,4,166,32,460.9233799910289,14668.881394482043,14843.695439191011,30195.546875
10,-2.903493707834226,7.943908234299222e-05,-2.0416314413740366e-05,1.6878612397067844e-05,0.0020600671361815782,1.0352793286660513e-06,0.30597269927901627,6,1,166,32,552.3462090429966,15221.22760352504,15396.041648234008,30195.546875
10,-2.903493707834226,7.943908234299222e-05,-2.0416314413740366e-05,1.6878612397067844e-05,0.002054068038924869,2.861935510802048e-06,0.30597269927901627,11,2,166,32,380.86482318496564,15602.092426710005,15776.906471418974,30195.546875
10,-2.903493707834226,7.943908234299222e-05,-2.0416314413740366e-05,1.6878612397067844e-05,0.0018839068550994072,5.020373504610122e-06,0.30597269927901627,16,3,166,32,383.24495715799276,15985.337383867998,16160.151428576966,30195.546875
10,-2.9035107828329485,7.35587037307701e-05,-1.70749987224994e-05,1.6878612397067844e-05,0.0018839068550994072,3.274299724072893e-05,0.3060173597557757,21,4,187,36,546.4960829820484,16531.833466850047,16706.647511559015,30195.546875
11,-2.9035107828329485,7.35587037307701e-05,-1.70749987224994e-05,1.4120608854989489e-05,0.0022779370489476396,7.980597209460735e-07,0.3060173597557757,6,1,187,36,550.2768465729896,17082.110313423036,17256.924358132004,30195.546875
11,-2.9035107828329485,7.35587037307701e-05,-1.70749987224994e-05,1.4120608854989489e-05,0.0023672460387263844,2.1262307201167247e-06,0.3060173597557757,11,2,187,36,382.01212367397966,17464.122437097016,17638.936481805984,30195.546875
11,-2.9035107828329485,7.35587037307701e-05,-1.70749987224994e-05,1.4120608854989489e-05,0.002180458012803883,3.836573468004748e-06,0.3060173597557757,16,3,187,36,380.30550010700244,17844.42793720402,18019.241981912986,30195.546875
11,-2.903518985754332,7.073373816297722e-05,-8.20292138348222e-06,1.4120608854989489e-05,0.002180458012803883,2.529152947538705e-05,0.2914501757513859,21,4,208,40,579.087325747998,18423.515262952016,18598.329307660984,30195.546875
12,-2.903518985754332,7.073373816297722e-05,-8.20292138348222e-06,1.32895497706896e-05,0.0023286391544470376,6.660584200090742e-07,0.2914501757513859,6,1,208,40,549.6762919520261,18973.191554904042,19148.00559961301,30195.546875
12,-2.903518985754332,7.073373816297722e-05,-8.20292138348222e-06,1.32895497706896e-05,0.0016538867650854228,1.253626678967573e-06,0.2914501757513859,11,2,208,40,380.93479738396127,19354.126352288004,19528.94039699697,30195.546875
12,-2.903518985754332,7.073373816297722e-05,-8.20292138348222e-06,1.32895497706896e-05,0.001485505244437385,1.6653783926095932e-06,0.2914501757513859,16,3,208,40,380.29161527002,19734.417967558024,19909.23201226699,30195.546875
12,-2.9035200232858327,7.037642756252223e-05,-1.0375315007138397e-06,1.32895497706896e-05,0.001485505244437385,5.948043191991419e-06,0.29431706669005775,21,4,229,44,538.6337180890259,20273.05168564705,20447.865730356018,30195.546875
13,-2.9035200232858327,7.037642756252223e-05,-1.0375315007138397e-06,1.2372202781464876e-05,0.0015554723669830546,1.6298165125532742e-07,0.29431706669005775,6,1,229,44,550.2478970139637,20823.299582661013,20998.11362736998,30195.546875
13,-2.9035200232858327,7.037642756252223e-05,-1.0375315007138397e-06,1.2372202781464876e-05,0.0011494460337081879,3.004249389560915e-07,0.29431706669005775,11,2,229,44,381.5369788199896,21204.836561481003,21379.65060618997,30195.546875
13,-2.9035200232858327,7.037642756252223e-05,-1.0375315007138397e-06,1.2372202781464876e-05,0.0009888291078051002,4.440379446440941e-07,0.29431706669005775,16,3,229,44,381.1788182470482,21586.01537972805,21760.82942443702,30195.546875
13,-2.903521020927945,7.003285428112977e-05,-9.97642112476882e-07,1.2372202781464876e-05,0.0009888291078051002,1.2319008177890073e-06,0.26698325916234,21,4,250,48,479.24014354799874,22065.25552327605,22240.069567985018,30195.546875
14,-2.903521020927945,7.003285428112977e-05,-9.97642112476882e-07,1.1384733082867032e-05,0.0012591406566026312,1.4834937452206765e-07,0.26698325916234,6,1,250,48,549.5674460649607,22614.82296934101,22789.63701404998,30195.546875
14,-2.903521020927945,7.003285428112977e-05,-9.97642112476882e-07,1.1384733082867032e-05,0.0010696522403284628,3.5012891434172046e-07,0.26698325916234,11,2,250,48,379.3931206850102,22994.21609002602,23169.03013473499,30195.546875
14,-2.903521020927945,7.003285428112977e-05,-9.97642112476882e-07,1.1384733082867032e-05,0.0007868287415359748,5.704817065208638e-07,0.26698325916234,16,3,250,48,379.8559071680065,23374.071997194027,23548.886041902995,30195.546875
