macro,energy_hartree,relative_error,dE,grad_orb,grad_ci,ddm,max_rot,jk_this_macro,micro_this_macro,total_jk,total_micro,macro_step_wall_s,cumulative_macro_wall_s,cumulative_casscf_wall_s,cumulative_peak_rss_mb
24,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453921112e-07,9.809048307360525e-07,1.1102247641449996e-16,0.0,1,1,286,61,199.8594503150016,17902.914212776006,18057.502759150004,13771.37109375
24,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453921112e-07,9.809048307360525e-07,6.251956885091276e-19,0.0,1,1,287,62,106.83378181599983,18009.747994592006,18164.336540966004,13771.37109375
25,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453906533e-07,9.809048307360525e-07,6.539068393413971e-19,0.0,1,1,287,62,200.48235601899796,18210.230350611004,18364.818896985,13771.37109375
25,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453906533e-07,9.809048307360525e-07,6.149788831958703e-19,0.0,1,1,288,63,106.73259307300032,18316.962943684004,18471.551490058002,13771.37109375
26,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453905422e-07,9.809048307360525e-07,1.5701056570398044e-16,0.0,1,1,288,63,200.47491677699873,18517.437860461003,18672.026406835,13771.37109375
26,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453905422e-07,9.809048307360525e-07,1.5701062245577572e-16,0.0,1,1,289,64,106.6237831660037,18624.061643627007,18778.650190001004,13771.37109375
27,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453890966e-07,9.809048307360525e-07,1.5700964888004412e-16,0.0,1,1,289,64,200.15589325899782,18824.217536886004,18978.806083260002,13771.37109375
27,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453890966e-07,9.809048307360525e-07,2.482565103300274e-16,0.0,1,1,290,65,107.28273678499681,18931.500273671,19086.088820045,13771.37109375
28,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453908209e-07,9.809048307360525e-07,2.2204553502745137e-16,0.0,1,1,290,65,200.1381621150067,19131.638435786008,19286.226982160006,13771.37109375
28,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453908209e-07,9.809048307360525e-07,2.482543836084197e-16,0.0,1,1,291,66,106.79639147598937,19238.434827261997,19393.023373635995,13771.37109375
29,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453895997e-07,9.809048307360525e-07,1.570140649017163e-16,0.0,1,1,291,66,200.11508902300557,19438.549916285003,19593.138462659,13771.37109375
29,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453895997e-07,9.809048307360525e-07,1.5701428780593165e-16,0.0,1,1,292,67,106.4323611370055,19544.98227742201,19699.570823796006,13771.37109375
30,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453933581e-07,9.809048307360525e-07,8.405380562246254e-19,0.0,1,1,292,67,199.92337459999544,19744.905652022004,19899.494198396,13771.37109375
30,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453933581e-07,9.809048307360525e-07,1.3554441041118757e-18,0.0,1,1,293,68,106.90983083400351,19851.815482856007,20006.404029230005,13771.37109375
31,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453898018e-07,9.809048307360525e-07,2.392044284382842e-19,0.0,1,1,293,68,200.13146317099745,20051.946946027005,20206.535492401003,13771.37109375
31,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453898018e-07,9.809048307360525e-07,6.7601023025620005e-19,0.0,1,1,294,69,107.76059182199242,20159.707537848997,20314.296084222995,13771.37109375
32,-2.1734423549157897,0.0008215332777687629,0.0,5.00169845390364e-07,9.809048307360525e-07,1.1722525252141575e-19,0.0,1,1,294,69,202.72425325401127,20362.43179110301,20517.020337477006,13771.37109375
32,-2.1734423549157897,0.0008215332777687629,0.0,5.00169845390364e-07,9.809048307360525e-07,1.1102424608159195e-16,0.0,1,1,295,70,109.01236381399212,20471.444154917,20626.032701291,13771.37109375
33,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453900764e-07,9.809048307360525e-07,1.1102297220525022e-16,0.0,1,1,295,70,203.82081919300254,20675.264974110003,20829.853520484,13771.37109375
33,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453900764e-07,9.809048307360525e-07,1.5700935549832972e-16,0.0,1,1,296,71,110.41842866099614,20785.683402771,20940.271949144997,13771.37109375
