macro,energy_hartree,relative_error,dE,grad_orb,grad_ci,ddm,max_rot,jk_this_macro,micro_this_macro,total_jk,total_micro,macro_step_wall_s,cumulative_macro_wall_s,cumulative_casscf_wall_s,cumulative_peak_rss_mb
19,-14.664425974700467,0.0002000377231848748,-2.5331539664108504e-05,0.00024556688906795675,0.008214185640436177,2.6462553863114513e-05,0.03996911909654209,5,1,383,73,4584.498006887996,105982.37693987499,107140.10513302998,2156.53125
20,-14.664425974700467,0.0002000377231848748,-2.5331539664108504e-05,0.0003572958223791932,0.013788001638497787,6.09679682969215e-06,0.03996911909654209,6,1,383,73,630.9677790820133,106613.344718957,107771.072912112,2156.53125
20,-14.664425974700467,0.0002000377231848748,-2.5331539664108504e-05,0.0003572958223791932,0.011867927484944136,1.2512342348116025e-05,0.03996911909654209,11,2,383,73,827.0495224919869,107440.39424144899,108598.12243460398,2156.53125
20,-14.664425974700467,0.0002000377231848748,-2.5331539664108504e-05,0.0003572958223791932,0.011249098154166382,1.792085227644899e-05,0.03996911909654209,16,3,383,73,830.5191888350237,108270.91343028401,109428.641623439,2156.53125
20,-14.664593623712717,0.00018860764904409373,-0.00016764901224952666,0.0003572958223791932,0.011249098154166382,6.861698719809411e-05,0.3068099118255027,21,4,404,77,6063.353566648002,114334.26699693201,115491.99519008701,2156.53125
21,-14.664593623712717,0.00018860764904409373,-0.00016764901224952666,0.0002084651618105257,0.00867145555884716,3.1525932948670692e-06,0.3068099118255027,6,1,404,77,706.4948147889809,115040.761811721,116198.49000487599,2156.53125
21,-14.664593623712717,0.00018860764904409373,-0.00016764901224952666,0.0002084651618105257,0.007886367568708839,6.958882020550423e-06,0.3068099118255027,11,2,404,77,873.7704606710176,115914.53227239201,117072.260465547,2156.53125
21,-14.664593623712717,0.00018860764904409373,-0.00016764901224952666,0.0002084651618105257,0.007223295231730157,9.004547247037806e-06,0.3068099118255027,16,3,404,77,922.8767271349789,116837.40899952699,117995.13719268198,2156.53125
21,-14.664684208994462,0.00018243167178949625,-9.058528174499259e-05,0.0002084651618105257,0.007223295231730157,5.1982489900124575e-05,0.304162689050314,21,4,425,81,5285.137150348019,122122.54614987501,123280.27434303,2156.53125
22,-14.664684208994462,0.00018243167178949625,-9.058528174499259e-05,0.00013189840578025616,0.005452035156272089,5.840179136500455e-06,0.304162689050314,5,1,425,81,629.1355694759986,122751.681719351,123909.409912506,2156.53125
22,-14.664693722910505,0.00018178302635892552,-9.513916042536152e-06,0.00013189840578025616,0.005452035156272089,3.617595629563783e-05,0.039966969486156814,5,1,430,82,3917.725438352005,126669.40715770301,127827.135350858,2156.53125
23,-14.664693722910505,0.00018178302635892552,-9.513916042536152e-06,0.00019842988810354938,0.0024319872944499545,5.633592756760464e-06,0.039966969486156814,4,1,430,82,629.1222056819825,127298.529363385,128456.25755653999,2156.53125
23,-14.664698066688786,0.00018148687365788943,-4.343778281068467e-06,0.00019842988810354938,0.0024319872944499545,1.9665107272635472e-05,0.019994242281936442,4,1,434,83,3074.8135784160113,130373.342941801,131531.071134956,2156.53125
24,-14.664698066688786,0.00018148687365788943,-4.343778281068467e-06,0.00036744978372855384,0.006321003590493828,4.876038903299215e-06,0.019994242281936442,5,1,434,83,629.793173195998,131003.136114997,132160.864308152,2156.53125
24,-14.664698066688786,0.00018148687365788943,-4.343778281068467e-06,0.00036744978372855384,0.00670587840146869,5.738673205941125e-06,0.019994242281936442,10,2,434,83,825.8791521340027,131829.015267131,132986.743460286,2156.53125
24,-14.664698066688786,0.00018148687365788943,-4.343778281068467e-06,0.00036744978372855384,0.006229197803162856,8.038454927501689e-06,0.019994242281936442,15,3,434,83,825.4497384080023,132654.465005539,133812.193198694,2156.53125
24,-14.664735789015902,0.0001789150183876714,-3.7722327116185284e-05,0.00036744978372855384,0.006229197803162856,5.005276771543311e-05,0.28385791883679556,20,4,454,87,5707.829958271992,138362.294963811,139520.023156966,2156.53125
