nu,thr,M,Mzero,Mone,Mtwo_ud,Mtwo_uu,Mthree,Mother,E,dE,err,keptDim
60,8.67361737988404e-19,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
61,4.33680868994202e-19,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
62,2.16840434497101e-19,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
63,1.0842021724855e-19,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
64,5.42101086242752e-20,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
65,2.71050543121376e-20,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
66,1.35525271560688e-20,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
67,6.7762635780344e-21,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
68,3.3881317890172e-21,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
69,1.6940658945086e-21,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
70,8.470329472543e-22,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
71,4.2351647362715e-22,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
72,2.11758236813575e-22,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
73,1.05879118406788e-22,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
74,5.29395592033938e-23,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
75,2.64697796016969e-23,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
76,1.32348898008484e-23,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
77,6.61744490042422e-24,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
78,3.30872245021211e-24,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
79,1.65436122510606e-24,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
80,8.27180612553028e-25,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
81,4.13590306276514e-25,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
82,2.06795153138257e-25,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
83,1.03397576569128e-25,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
84,5.16987882845642e-26,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
85,2.58493941422821e-26,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
86,1.29246970711411e-26,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
87,6.46234853557053e-27,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
88,3.23117426778526e-27,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
89,1.61558713389263e-27,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
90,8.07793566946316e-28,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
